"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"22000","Louisiana","5","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",685227,734127,772686,802271,860100,922088,960882,1035106,1097478,1163208,1213410,1348166,1518185,1662781,1805792,2003882,2404536,2683669,2871946,3189045,3719228,4264149,5359877,6785613,7882215,8610267,9521629,10332530,10258491,9976959,10413526,11422232,11970675,11947138,12214888,12643634,13322029,14597655,15351878,16348312,17469429,17065952,18444804,18336051,17894407,18023090,18201299,19615940,23506408,30746448,30335189,26416252,26178685,27859979,32392084,31915732,33141880
"22000","Louisiana","5","SA40","91","...","  Personal dividend income",99404,103592,108468,107690,115747,127276,146343,177852,183668,196759,196795,206020,214155,227779,250784,293886,342660,369581,432617,494727,578778,669386,745579,862448,986537,1007061,1019959,1154037,1211542,1249034,1500588,1810115,1971850,2119850,2323897,2584797,3058567,3458726,4074373,4428181,4619334,4363420,4714662,4450085,4791771,4953317,6218904,7279483,9584705,10875955,11535836,9172281,8664703,9751607,12129999,11510797,12053118
"22000","Louisiana","5","SA40","92","...","  Personal interest income",300009,318788,337356,357507,398169,431730,469681,519631,575915,627712,693026,803721,965309,1077264,1195237,1370532,1640520,1921059,2071909,2394279,2794114,3250962,4187209,5308140,6216317,6782506,7746817,8392901,8563351,8301322,8453298,9167149,9430449,9160537,8930035,8817033,8913044,9590707,9480012,10134096,10915069,10616926,11544381,11510655,10722634,10497440,9309639,9973228,11763724,12487023,13641836,12994977,12471992,12357847,14237311,14001540,14177428
"22000","Louisiana","5","SA40","93","...","    Imputed interest receipts 1/",166318,178590,188151,205436,228306,240548,257703,282129,310019,341623,364388,400896,499194,561614,628739,690729,813689,1025157,1074162,1215237,1424308,1533005,1874506,2211338,2689278,3283987,3499947,3984358,4209105,4325173,4397202,4610832,4841422,5017013,5199297,5338523,5468404,5889912,5794012,6283539,6372386,6392077,6708473,6617632,6708982,6839994,6612755,6566150,7128700,7381659,8325649,9010906,8920299,8664680,9550481,9739356,9737574
"22000","Louisiana","5","SA40","94","...","    Monetary interest receipts",133691,140198,149205,152071,169863,191182,211978,237502,265896,286089,328638,402825,466115,515650,566498,679803,826831,895902,997747,1179042,1369806,1717957,2312703,3096802,3527039,3498519,4246870,4408543,4354246,3976149,4056096,4556317,4589027,4143524,3730738,3478510,3444640,3700795,3686000,3850557,4542683,4224849,4835908,4893023,4013652,3657446,2696884,3407078,4635024,5105364,5316187,3984071,3551693,3693167,4686830,4262184,4439854
"22000","Louisiana","5","SA40","95","...","  Rental income of persons 2/",285814,311747,326862,337074,346184,363082,344858,337623,337895,338737,323589,338425,338721,357738,359771,339464,421356,393029,367420,300039,346336,343801,427089,615025,679361,820700,754853,785592,483598,426603,459640,444968,568376,666751,960956,1241804,1350418,1548222,1797493,1786035,1935026,2085606,2185761,2375311,2380002,2572333,2672756,2363229,2157979,7383470,5157517,4248994,5041990,5750525,6024774,6403395,6911334
"22000","Louisiana","5","SA40","96","...","    Imputed rent",136793,152013,166529,175770,186962,192923,194455,198856,206281,213723,208196,215577,232324,245027,242158,228209,231813,214936,184205,109342,117677,100029,99142,106084,50708,43402,14280,-12669,-58379,-48713,32538,55890,113739,193487,329365,536726,693662,749740,897832,928010,1099231,1250549,1339433,1438593,1521577,1699246,1732372,1460008,1121372,6245362,3624431,2803271,3253490,3651719,3859917,4246158,4649730
"22000","Louisiana","5","SA40","97","...","    Monetary rent",149021,159734,160333,161304,159222,170159,150403,138767,131614,125014,115393,122848,106397,112711,117613,111255,189543,178093,183215,190697,228659,243772,327947,508941,628653,777298,740573,798261,541977,475316,427102,389078,454637,473264,631591,705078,656756,798482,899661,858025,835795,835057,846328,936718,858425,873087,940384,903221,1036607,1138108,1533086,1445723,1788500,2098806,2164857,2157237,2261604
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 30, 2015-- new estimates for 2014; revised estimates for 1998-2013."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
